名称,排名,分数,评价人数
肖申克的救赎,1,9.6,1237436
霸王别姬,2,9.6,911386
这个杀手不太冷,3,9.4,1137434
阿甘正传,4,9.4,975598
美丽人生,5,9.5,570087
泰坦尼克号,6,9.3,911274
千与千寻,7,9.3,905477
辛德勒的名单,8,9.5,511979
盗梦空间,9,9.3,991104
机器人总动员,10,9.3,657629
忠犬八公的故事,11,9.3,643619
三傻大闹宝莱坞,12,9.2,886659
海上钢琴师,13,9.2,739692
放牛班的春天,14,9.2,610654
大话西游之大圣娶亲,15,9.2,677274
楚门的世界,16,9.2,658100
星际穿越,17,9.2,671404
教父,18,9.2,448492
龙猫,19,9.1,582799
熔炉,20,9.3,383046
无间道,21,9.1,556524
当幸福来敲门,22,9.0,717017
触不可及,23,9.2,475811
怦然心动,24,9.0,774075
疯狂动物城,25,9.2,739582
乱世佳人,26,9.2,339504
蝙蝠侠：黑暗骑士,27,9.1,446847
活着,28,9.2,368400
天堂电影院,29,9.1,371865
少年派的奇幻漂流,30,9.0,732684
十二怒汉,31,9.4,218451
鬼子来了,32,9.2,304165
指环王3：王者无敌,33,9.1,364172
控方证人,34,9.6,149736
天空之城,35,9.0,425031
搏击俱乐部,36,9.0,479126
飞屋环游记,37,8.9,647045
大话西游之月光宝盒,38,8.9,545694
罗马假日,39,9.0,489390
摔跤吧！爸爸,40,9.1,663716
窃听风暴,41,9.1,290454
哈尔的移动城堡,42,8.9,462678
辩护人,43,9.2,287851
闻香识女人,44,9.0,415461
两杆大烟枪,45,9.1,328021
飞越疯人院,46,9.0,332199
死亡诗社,47,9.0,355957
V字仇杀队,48,8.8,539311
海豚湾,49,9.3,218646
教父2,50,9.1,242723
指环王2：双塔奇兵,51,9.0,341678
指环王1：魔戒再现,52,8.9,382528
美丽心灵,53,8.9,379466
饮食男女,54,9.1,263098
情书,55,8.8,469864
素媛,56,9.1,249609
狮子王,57,8.9,360903
钢琴家,58,9.1,250305
末代皇帝,59,9.1,256662
美国往事,60,9.1,215485
小鞋子,61,9.2,181744
七宗罪,62,8.8,522513
被嫌弃的松子的一生,63,8.9,377323
本杰明·巴顿奇事,64,8.8,488135
致命魔术,65,8.8,427554
西西里的美丽传说,66,8.8,454871
黑客帝国,67,8.9,359604
让子弹飞,68,8.7,795555
拯救大兵瑞恩,69,8.9,307997
看不见的客人,70,8.7,487839
天使爱美丽,71,8.7,580193
音乐之声,72,8.9,286313
低俗小说,73,8.8,419146
勇敢的心,74,8.8,347715
大闹天宫,75,9.3,141408
剪刀手爱德华,76,8.7,590635
沉默的羔羊,77,8.8,427355
哈利·波特与魔法石,78,8.8,363611
蝴蝶效应,79,8.7,470348
春光乍泄,80,8.9,309743
心灵捕手,81,8.8,341384
入殓师,82,8.8,366159
猫鼠游戏,83,8.8,310726
布达佩斯大饭店,84,8.8,411703
禁闭岛,85,8.7,452357
玛丽和马克思,86,8.9,265077
阳光灿烂的日子,87,8.8,333911
幽灵公主,88,8.8,287344
第六感,89,8.8,285874
重庆森林,90,8.7,406987
狩猎,91,9.1,168864
穿条纹睡衣的男孩,92,9.0,199625
致命ID,93,8.7,393586
断背山,94,8.7,390751
加勒比海盗,95,8.6,435589
阿凡达,96,8.6,652339
摩登时代,97,9.2,118521
大鱼,98,8.7,304662
告白,99,8.7,412644
一一,100,9.0,186088
射雕英雄传之东成西就,101,8.7,332513
甜蜜蜜,102,8.8,272951
阳光姐妹淘,103,8.8,327629
消失的爱人,104,8.7,444964
爱在黎明破晓前,105,8.7,273212
上帝之城,106,8.9,181000
寻梦环游记,107,9.0,617422
喜剧之王,108,8.6,405289
小森林 夏秋篇,109,8.9,180083
侧耳倾听,110,8.8,213247
倩女幽魂,111,8.7,328958
恐怖直播,112,8.7,289869
风之谷,113,8.8,212864
超脱,114,8.8,217937
爱在日落黄昏时,115,8.8,241134
红辣椒,116,8.9,171727
菊次郎的夏天,117,8.8,233406
驯龙高手,118,8.7,353285
幸福终点站,119,8.7,269476
神偷奶爸,120,8.5,476671
杀人回忆,121,8.7,254477
借东西的小人阿莉埃蒂,122,8.7,263231
请以你的名字呼唤我,123,8.8,245597
七武士,124,9.2,95028
哈利·波特与死亡圣器(下),125,8.7,341626
岁月神偷,126,8.6,354479
