name,content,hh_count,image_url,age
老王总裁,"


《短篇小说》",881,//pic.qiushibaike.com/system/avtnew/2867/28674132/thumb/20150528170148.jpg?imageView2/1/w/90/h/90,25
桑莎的小葡萄,"


就在刚刚，跟老公讨论说生完孩子给孩子喂母乳的胸一般都有点下垂，老公来了句‘就你那旺仔小馒头，放心吧，垂不下来’。尼妹的，还能不能好好的说话了。

",1216,//pic.qiushibaike.com/system/avtnew/2532/25322348/thumb/20170328200206.JPEG?imageView2/1/w/90/h/90,27
润雨润无声,"


元旦跟闺蜜一家去北京玩，我们一行来到了清华苑，看着古老而又神圣的房子以及平整的草坪，闺蜜感慨到“要是我也能在清华上学多好呀”她老公回复到“是呀，那样我们就可以在草坪上滚了”……那么多人看着我们，我突然很嫌弃他

",215,//pic.qiushibaike.com/system/avtnew/3046/30462269/thumb/20160125100549.jpg?imageView2/1/w/90/h/90,28
如风的人,"


大早上的，就被尿憋醒了！赶紧穿衣起床去厕所，刚走到门口，就被眼前的一幕惊呆了“哇，下雪啦！”我如同脱了缰绳的二哈，在院子里狂奔着！咣的一声响，脚底打滑，一头扎进了雪窝！",485,//pic.qiushibaike.com/system/avtnew/3011/30114559/thumb/2017123023540926.JPEG?imageView2/1/w/90/h/90,21
节操君～你在哪里,"


今天上班时候无聊发现了一个很严重的问题～同事中有三个妹子～岁数都是23左右～其中两个有男朋友～一个木有男朋友～我发现两个有男朋友的皮肤超级好～那个木有男朋友的满脸豆豆～我就在想是什么原因～

",232,//pic.qiushibaike.com/system/avtnew/1117/11177849/thumb/20150224165431.jpg?imageView2/1/w/90/h/90,24
寂静已无声,"


元旦放假，和老婆逛街，不小心惹生气了，回家只能亲自下厨做一桌请罪：来来来，我是负荆请罪来了，这里有你喜欢吃的。",952,//pic.qiushibaike.com/system/avtnew/3145/31452914/thumb/20160321231003.jpg?imageView2/1/w/90/h/90,37
妖魁,"


我也要去这家公司，有没有一起的？

",2105,//pic.qiushibaike.com/system/avtnew/1361/13618410/thumb/20150321175333.jpg?imageView2/1/w/90/h/90,31
心酸ζ收场Ψ,"


这几天我爸说的最多的一句话就是   多吃点   多喝点    我是失恋了   不是快死了   这老头是想咋地

",41,//pic.qiushibaike.com/system/avtnew/2405/24057284/thumb/20170917111411.JPEG?imageView2/1/w/90/h/90,19
匿名用户,"


我上大学时暗恋一个男生四年，其实他也不是很帅，个头也不高，也一直没有女朋友，最最让我后悔的一次是我在教室上自习，写日记的时候正写到他，他把我日记本抢走了，还没来得及看又被我武力抢回来了。如果再来一次我一定要跟他说说我的心意。不过现在我们都已成家，过得也很幸福，这些都只是美好的回忆吧！

",224,//static.qiushibaike.com/images/thumb/anony.png?v=b61e7f5162d14b7c0d5f419cd6649c87,
周三岁っ,"


糗百自己天天打广告，一按上就自动下载，一个下载率就挣4.5元，还好意思禁止这个禁止那个！你官方本身以身作则了么，希望能有人顶起来，让其改善

",16707,//pic.qiushibaike.com/system/avtnew/1527/15277134/thumb/20170708134842.JPEG?imageView2/1/w/90/h/90,21
醉酒舞剑砍疯子#,"


给未来婆婆买了件毛衣，她忙问我在哪买的？我告诉她在商场！未来婆婆摇头叹息：败家啊，那里的衣服贵的厉害，这毛衣花了多少钱？",3824,//pic.qiushibaike.com/system/avtnew/2470/24703920/thumb/20180101215822.JPEG?imageView2/1/w/90/h/90,13
傻晴°,"


不小心又办砸了一件事，心如死灰的我跟同事说:我怎么这么笨呢，好痛苦啊！",3776,//pic.qiushibaike.com/system/avtnew/2333/23331917/thumb/2017122922191538.JPEG?imageView2/1/w/90/h/90,26
阿米尔。汗,"


这两天下雪，想起小时候也是下雪！小伙伴们把雪揉成雪球打雪战，玩的正嗨！我看到脚边有雪球，拿起来就砸了过去，感觉沉甸甸的，定睛一看是一坨屎被雪包着看着像“雪球”！哎！被砸的小伙伴好些日子没理我...

",211,//pic.qiushibaike.com/system/avtnew/3095/30951275/thumb/20170531192431.JPEG?imageView2/1/w/90/h/90,32
大脸猫文化传媒,"


跟几个朋友打牌，西门的打骰子说:“七对驴。”东门的兄弟笑笑没说话。",181,//pic.qiushibaike.com/system/avtnew/29/298159/thumb/2017122713393294.JPEG?imageView2/1/w/90/h/90,26
