点赞数,姓名,时间,评论
"('4434',)","('1.9',)","('2019-02-05',)","('杂乱无章，不伦不类',)"
"('1498',)","('pirlo021',)","('2019-02-05',)","('韩寒好好开赛车办杂志不好吗，非得去拍电影，为什么要拍这么尴尬无聊做作苍白生硬的笑话集锦',)"
"('779',)","('昼夜售蓝',)","('2019-02-05',)","('坐拥资本和声望，不明白为什么第三部了还在拍MV电影。',)"
"('757',)","('The Gemini Uspl',)","('2019-02-05',)","('nothing special...',)"
"('610',)","('Reaper',)","('2019-02-05',)","('大型扑街现场。韩寒的自恋在这部片中达到了顶峰，有那么20分钟我以为自己在看CCTV 5的比赛直播，特别是我还听到了韩寒自己配音当比赛解说。至于人物和剧情，是节奏的全面崩坏。尬演，尬笑，这次连韩式金句和配乐都没有了。看完千言万语汇成一句话：蛤？！我一个韩粉看完飞驰都脱粉了啊！',)"
"('524',)","('薯片袋子',)","('2019-02-05',)","('抒情回忆太牵强，情节点乱，拼凑也有问题，这突如其来的歌太威猛了，突破的点解释的也不明白；结尾还没有个感悟出来，就和预告片一样唰唰唰上天了，沈腾这种片子的表演也驾驭不了，就会牙一咬头一动；太他妈蛋疼了。韩寒当作家是能过，前两部电影还行，现在就没趣味了，表达不出来本身的味，感觉有点继承古今异事，要这我眼前飘过多少遍，80分钟时还想着看看韩寒能高级一点；还定位的是喜剧，自己想搞笑剧情都带不上来，还意淫了一会美好发展，到头来还是平淡无聊。韩寒自嗨高潮，啥巴音布鲁克这叨叨的都是啥啥，还以为能拍个自传出来看看呢',)"
"('411',)","('4Axel',)","('2019-02-05',)","('全是段子和毒鸡汤拼凑成的，这也算了但是居然还不好笑，演員尬演，根本不算是部电影',)"
"('297',)","('本豆',)","('2019-02-05',)","('庸俗之极的煽情鸡汤。拍电影这事，赛车手还是不行。',)"
"('261',)","('晚不安',)","('2019-02-05',)","('这不是电影，这是段子视频合集。废戏一箩筐，还自以为特幽默。功成名就的中年男人对loser是有什么误解？成功和失败都来得那么突如其来，和《新喜剧之王》一样试图用港乐拉好感。我看到的不过就是钱，用钱堆砌出一个个取悦观众的镜头行货。我必须承认，韩寒现在和郭某一样是个商人。作为车手，他当然要炫技并且夹带私货，但是说实在话，赛车段落压根没有拍出紧张感。贩卖煽情语录就算了，还在黄浦江边贩卖小镇感。掌握了资源以后，他当然可以用电影实现童年梦想，但是他根本没有拍出当年让他震撼的商业片。作为初中读完全套作品的前书迷，我知道这部电影是献给逝去的徐浪。但是，它真的不配。建议重看杜琪峰《阿郎的故事》。',)"
"('232',)","('柯里昂',)","('2019-02-05',)","('飞驰的不是人生，是日益飙红的票房，和持续降低的追求。韩寒还是那个韩寒，抖完段子撒热血，前半段是小品拼凑，各自割裂的廉价笑点，后半段是漫画合集，硬凹出来的励志姿态。剪掉的部分换来了更多排片，飞向夕阳后一句“献给XX”，何其容易，流行歌曲、慢镜头、低劣特效，屡试不爽的三板斧。硬要较真的话，可能还不如前几部。',)"
"('192',)","('寇妤',)","('2019-02-05',)","('4.5。你不會相信這是韓寒，雖然細節一直處理的很好，但各種強立flag，刻意煽情，強行讓賽車手犯錯。與其說他為韓寒，不如說是為迎合各齡化觀眾，就像一個低級商業導演拍出的高級商業片。但我看來就是一部諷刺片，一部缺少人性的諷刺片。還有，我想問日語歌買版權了嗎？',)"
"('199',)","('刘十九',)","('2019-02-05',)","('实在是很烦韩寒抖机灵，段子一眼就能看到底，还在自作聪明',)"
"('165',)","('趴',)","('2019-02-05',)","('想看拉力赛车网上随便一搜一大把，要花这个钱来看中年老男人的自我意淫和自我感动？起承转合生硬造作，前戏极其敷衍，到点就放煽情bgm，试图强行戳观众g点，你tm当观众的g点都长头顶上啊？请韩寒快滚回去开车或者写书，干什么都好，反正别来糟蹋电影了。为了尹老师加起来2min都没有的戏份在大年初一喜气洋洋的日子生吞一部烂片，口区！',)"
"('154',)","('致夏',)","('2019-02-05',)","('就是一篇韩寒对赛车至死不渝的长微博。三部电影了，韩寒一点进步都没有，甚至还有退步，导演是要用镜头讲故事的，而不只是用台词。笑点极尬，同场观影的观众也对硬塞进来的笑点极不领情，整场都没什么笑声。如果是对赛车，特别是对拉力赛感兴趣的朋友不要错过。否则，只能欣赏两个小时韩寒自我式的银幕意淫了。',)"
"('158',)","('阿雪',)","('2019-02-05',)","('第一次看到一半在影院里玩手机，原来没有好的剧本和导演沈腾一点都不好笑。',)"
"('127',)","('刘杀鸡。',)","('2019-02-05',)","('尬，疯狂尬，极其违和的中二，很多点演着演着就消失了(怀疑剪辑的锅)，赛车部分非专业人士不懂其中是否合理，看起来还不错，但总体来说是一部大众汽车的广告片，一星给尹正，一星可怜其他著名绿叶演员。李玲玉在哪呢？？？',)"
"('126',)","('阿姆',)","('2019-02-05',)","('看到一半出来上厕所评价一下，韩作家还是好好开车，好好写作吧 别来嚯嚯观众了 生硬的要死 各种强行配乐煽情 咱们能不能先正常的讲好故事。结尾略微有一些紧凑感。',)"
"('78',)","('大奇特(Grinch)',)","('2019-02-05',)","('韩寒赛车经验谈，在两部文艺喜剧之后想正经一把，又放不下骨子里对屌丝喜剧的偏爱。导致喜剧与体育赛事一前一后风格断裂，两边拍得都很平淡（赛车部分主要靠解说完成)，人物成长也断裂了，结尾和彩蛋再次断裂。真不如老老实实拍一部严肃体育竞技片来的痛快。',)"
"('54',)","('桃桃淘电影',)","('2019-02-07',)","('5分，这是韩寒三部电影里，个人情感上最没感觉的一部。前面的喜剧与后面赛车部分，并不是特别搭。喜剧部分处理得也比较尬笑，还挺无趣的。整部片子在剧情上也有点过于松散，像一堆小段子拼在一起的，有点捏不到一起去。不过，结尾那个飞向天空的反高潮设定，倒是挺读独特的。',)"
"('102',)","('熊猫颖哥哥',)","('2019-02-05',)","('韩寒还是写书吧！导演不适合你。',)"
"('87',)","('Τrøn',)","('2019-02-05',)","('除了赛车的部分都尬的一B',)"
"('83',)","('Mr叶',)","('2019-02-05',)","('不好看，离不了车，老套路',)"
"('74',)","('L.',)","('2019-02-05',)","('韩寒老师 体育竞技电影软切超难看 叠画这种手法现在做ppt的都不再用了你知道吗？？？？我们要看的是热血精神是拳拳到肉是生死时速是泥土混杂着血和汗！不是尴尬笑话和飞向太阳！！！！靠！！！',)"
"('67',)","('LuA',)","('2019-02-05',)","('喜剧部分还不如后面赛车部分吸引人，笑点都在预告里了',)"
"('46',)","('哪吒男',)","('2019-02-06',)","('羡慕韩寒，他的人生已经顺遂到连一个励志故事都造不出来，连编的坎坷都不坎坷，假的起伏还都全是平平坦坦，韩寒真幸福。这么幸福一个人，干嘛来折磨我们普通观众呢。',)"
"('37',)","('时间之葬',)","('2019-02-06',)","('三部拍下来，居然一部不如一部，如今基本可以盖棺定论，韩寒真的完全不会拍电影。比这更可怕的则是，他自以为很有两把刷子。',)"
"('52',)","('seabisuit',)","('2019-02-05',)","('如果说韩寒前两部还能看的话，这第三部拾掇起老本行却感觉编不下去了，尽管那么多专业名词，但最后就二十分钟的赛车戏可是拍得够广告的。不断随意的制造困难卖惨乱煽情，而且前一个多小时也太拼凑硬撑了吧。段子金曲动画，励志文艺喜剧，不伦不类的无聊拖沓。',)"
"('58',)","('被动王',)","('2019-02-05',)","('2.5 说好听点，是坚持梦想热血搏击，人生不悔；说难听点，是失意中年沉溺昔日成功，试图再次证明价值。【其实比较恶心韩寒假借男主遭遇，来回应自己前几年的各种风波】',)"
"('46',)","('mumudancing',)","('2019-02-05',)","('韩寒的剧本仿佛每一句都写了：“等着啊，我下面要讲段子了。”',)"
"('58',)","('奔跑的胖子',)","('2019-02-05',)","('剧本太差了，后半段完全直男的自嗨，我觉得韩寒真的不必再拍了 这么多年 炒来炒去就那么几把 一点都没看出来他在学习 在进步',)"
"('50',)","('RESHY',)","('2019-02-05',)","('我以为的只是我以为的 现实给我的是暴击 新年第一天为什么要起个大早去电影院睡觉？？？',)"
"('51',)","('似水流年',)","('2019-02-05',)","('剧本零分，被禁赛（车）五年没有带来任何水准倒退和心理创伤，阻碍老子的只有客观因素只有钱，人物弧光？不存在的。即使只讲“拉赞助”一件事也是网大级别，段子抻出来的（四处找钱的）情节，可以预见的（尴尬）笑点，叙事结构？也不存在的。自娱自乐（卖弄术语）的自嗨产物死不要脸地说是献给所有人的热爱，献给他自己的热爱吧。',)"
"('54',)","('便衣',)","('2019-02-05',)","('看了半小时就不想看了，笑点无聊剧情拖沓。sd的bgm用的真烂😭😭😭跟春晚有的一拼。',)"
"('58',)","('咣咣咣光光',)","('2019-02-05',)","('这部电影让人失望，沈腾还是适合开心麻花，韩寒也没有把少年感拍出来。老气横秋。',)"
"('44',)","('小特蕾西',)","('2019-02-05',)","('好烂的剧本 韩寒最差的电影 夏洛特烦恼想和红海行动飙车 牛批',)"
"('53',)","('迷之陈仙',)","('2019-02-05',)","('情节拼凑严重，看的难受',)"
"('51',)","('Teeth7',)","('2019-02-05',)","('太失望了 我从来没对韩寒这么失望过 春晚的即视感 黄景瑜不适合这个角色 唉…想不通咋能拍个这东西出来 太尴尬了',)"
"('45',)","('小鹏',)","('2019-02-05',)","('作为喜剧，缺少新意，不是很好看。',)"
"('40',)","('阿强',)","('2019-02-05',)","('韩寒还是那个老样子，他就是一个作家是一个鸡汤教主。妄图用鸡汤金句堆砌、抖段子卖信念铺垫、扬热血念青春加持构建出励志的飞驰人生。然而前半段有如小品拼凑，后半段硬炖励志鸡汤，这锅汤油腻得让人心碎。飞驰的不是人生，飞驰的是中国的经济和中国人在春节的需求。一众贺岁片花里胡哨的宣发和排片的背后是中国观众在新年病态的低标准，我看好今年贺岁档口碑一起崩坏。起码韩寒是失败了。',)"
"('49',)","('Hallelujah',)","('2019-02-05',)","('既不搞笑也没有剧情，期待了很久，比较失望。',)"
"('35',)","('唐朝',)","('2019-02-05',)","('韩寒目前为止的三部电影观感都不好，第一部还有个新鲜，后面越来越没意思了。他像是在为自己创造的金句名言拍各种片段，手法反鸡汤，但本质上又熬了一碗时代和自我的鸡汤。就搞笑来说，是有一些的，毕竟一个语感那么好的人跟你抖机灵，轻车熟路，但就电影表达而言，影像并没有多少为故事服务的作用，大量出现为金句而断裂叙事的问题。最后赛车场面到是值得一看。',)"
"('29',)","('朝阳区妻夫木聪',)","('2019-02-05',)","('到这一部，终于对韩寒一贯的文字游戏产生免疫了，过时的情节和尴尬的包袱一起砸到脸上让人无所适从。韩寒想通过一部电影证明他对赛车的热爱，却没怎么让人看到他对电影的热爱。完全是像赶任务似的处理每一处转折，偶有掉书袋的部分能让人想起原来导演曾经还是个优秀的赛车手。但这赛车场面拍的，说实话连头文字D都不如，罚导演去把极速风流拉片一百遍。',)"
"('45',)","('你也疯了',)","('2019-02-05',)","('当了婊子又想立牌坊，你踏马还不如郭敬明————曾经的韩2老粉',)"
"('64',)","('小雅',)","('2019-02-05',)","('从韩寒的《三重门》开始，就关注他，还是回去写书吧，导的很差，和《乘风破浪》一样烂，主演也不行，剧情1分。',)"
"('36',)","('酸奶芒果酪',)","('2019-02-05',)","('剧本比较失望，故事节奏1小时讲段子+唱歌拉赞助，半小时热血飞驰，前半段太过平缓，笑点编排用力过猛；结尾主角为赛车事业坠海不太适合大年初一观看',)"
"('22',)","('心打扰',)","('2019-02-05',)","('韩寒这次更认真了，作品也更不好看了。看不懂好评也看不懂差评，好评里的感动，差评里面说的那些有趣的段子、好笑的短视频集锦，我怎么完全看不到啊，一点也不觉得好笑，可能是我带了伸缩棍，忘记带手电筒了，乌漆墨黑的找不到感动点和笑点。唯一值得夸的可能就是赛车段落很短很集中，韩寒应该是自知自己的能力拍不好赛车戏，所以短一点好。',)"
"('34',)","('奥特蛋',)","('2019-02-05',)","('韩寒执导电影每况愈下。电影大篇幅迎合市场，张弛像无头苍蝇般玩掉自己的命，连就本该热血沸腾的赛车决赛也草草收尾。励志成分为零，角色好感度为零。喜剧效果、演员镜头感差。选角存在很大问题，或说角色发挥受限。沈腾并不适合这一角色，表现甚至不如「西虹市首富」，尹正也不如「夏洛特烦恼」。其他出于交情参演的演员毫无演技可言，甚至不如「乘风破浪」细挖演员人格特质。韩寒本身没有控制好电影节奏，开始的匆忙，结局的突兀，故事的走向令人失望。看得出在文艺与市场之间，他逐渐向市场妥协。总之，喜剧对他而言是跨不过去的一大门槛。',)"
"('40',)","('杨漾',)","('2019-02-05',)","('赛车🏎️直播怎么还讲起了赛车手的经历',)"
"('34',)","('伊西多拉在树上',)","('2019-02-05',)","('通篇是韩寒对于赛车的意淫，totally piece of shit.我不想在大年初一看一个男人为了追求梦想扔下儿子兄弟去死的“喜剧”。什么是不负责的人生，文青们这就是。',)"
"('29',)","('女神的秋裤',)","('2019-02-05',)","('6/10 前半段的故事和剪辑基本是业余选手的不合格水平，段子七拼八凑，情绪和故事明显拼接，出现断层，音乐乱入，更谈不上节奏。最后的比赛还能看，挽回点颜面。',)"
"('34',)","('巨幕先生',)","('2019-02-05',)","('7.3，太荒唐了，整部影片讲了个烂俗的故事，毫无逻辑的吐了一些毫无笑点的梗，连台词都开始让人不相信导演是一个写书的，与韩寒前两部相比，就是个卡在贺岁档上映赶了出来的作品，除了一个连续的故事外，其他的元素都相当碎片化，韩寒的确对电影的把控力还不错，但也是仅限于前两部，《飞驰人生》是想搞一出励志的开心麻花式的喜剧，但韩寒并不专业和并不扎实的戏剧功底让这成了一出闹剧。（本来我还觉得值两星半的，但是看这么高的分实在忍不住，这是怎么了，是豆瓣越来越水了还是观众被洗脑了）',)"
"('30',)","('海上繁花',)","('2019-02-05',)","('不知道这种电影有什么存在的必要，韩寒就会抖一点小机灵，其他什么都没有。',)"
"('25',)","('请叫我鲁先生',)","('2019-02-05',)","('韩寒真的是一部比一部差，故事主线本身很简单也很套路，中间插科打诨，硬撑！包袱多而不精，癞蛤蟆不咬人，膈应死人。',)"
