点赞数,姓名,时间,评论
"('7172',)","('我是一粒小灰尘',)","('2019-02-05',)","('开场戏是美国宇航员在太空里拍抖音吓跑了外星人，你说弱智吗',)"
"('4054',)","('非天',)","('2019-02-05',)","('你们念叨的中美合拍齐天大圣文体两开花，你看这不是就安排上了么？',)"
"('1655',)","('leslieryan',)","('2019-02-05',)","('尬演了2小时！外星人的逻辑完全建立在中国的世界观、刚开始出来以为是guru！巴甫洛夫的反射理论支撑了整个喜剧的走向！整个喜剧的悲核是愚蠢！可是愚蠢本身并不是悲喜的共鸣！对于愚蠢的俗媚、完全无厘头！',)"
"('1631',)","('YY异想天开',)","('2019-02-05',)","('我真是脑子抽了大年初一一大早来看这个…… 除了沈腾自带的两三次笑点以外，全程冷漠脸：）而且这种把所谓的c国：）和外星人都当猴耍的设定，我觉得非常不尊重人：）',)"
"('1157',)","('lazy 渣渣',)","('2019-02-05',)","('全篇主旨力量是话语权的基础，没有很深刻。电影节奏很乱很拖沓，笑果和近几年春晚水平相当，影射侮辱外星和美国，可以说是辱（银河）系了。宁浩导演在经历了《无人区》风波后终于自暴自弃，完美地融入进了贺岁档低俗喜剧导演之伍，祝好。',)"
"('778',)","('Ivangel',)","('2019-02-05',)","('宁浩+黄渤+沈腾+徐峥 个顶个单拎出来都是中国喜剧届能独当一面的人物，但是这部真是大写的笑！不！出！来！',)"
"('668',)","('我怎么那么棒呢',)","('2019-02-05',)","('就像春晚小品一样 你很想笑 却不好笑',)"
"('631',)","('123456zr',)","('2019-02-05',)","('把刘慈欣的感人短篇小说“乡村教师”拍成了逗逼喜剧.......',)"
"('628',)","('夏天是西瓜味的',)","('2019-02-05',)","('所以这就是B站刷屏了几个月的中美合拍美猴王电影？！',)"
"('667',)","('大猫',)","('2019-02-05',)","('完蛋了这片子……分高是不可能分高的 可以叫中国主义？美国人都傻叉 把外星人当猴耍 前一秒还被打后一秒就建交成功 呵敢情中国最牛逼的文化果然是白酒 越喝越有 我知道宁浩拍的肯定不是科幻片而是喜剧片 但没想到这么让人失望……',)"
"('554',)","('我不明白，也不',)","('2019-02-05',)","('就是一部二人转（小沈阳，岳云鹏演了一大堆这样的电影）',)"
