,名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
1,平凡便利店(武生店),264,2.0,20,便利店,4.6,37,73,965,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场6栋8号
3,天猫小店（海棠超市武生院店）,527,1.0,15,便利店,4.8,37,1474,1002,武汉市新洲区阳逻街汉施公路特1号
4,港饮之港(武生院东区店),256,2.0,10,奶茶果汁,4.7,37,23,931,武汉市新洲区阳逻街汉施路1号武生院商业街东区A108号
5,缤纷果栈(武生店),387,0.0,15,水果,4.7,35,82,861,武汉市新洲区阳逻街桥头村长河西路444号
6,海棠超市(武生店),130,1.0,18,休闲零食,4.9,36,93,399,武汉市新洲区阳逻街汉施路特1号
7,手撕面包(武生店),171,1.0,10,面包,4.9,32,12,580,武汉市新洲区阳逻街武湖村1栋1楼
8,好甜御膳房(武生店),435,1.0,9,简餐,4.2,32,59,527,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A221号
9,小伍卤肉卷意大利面鸡柳薯条(后街店),813,1.0,10,简餐,4.5,35,81,994,武汉市新洲区阳逻街桥头村六组42号
10,香辣情烧烤（武生店）,670,1.0,10,烧烤,4.7,35,143,105,武汉市新洲区阳逻街桥头村五组长河西路
11,叼馋砂锅麻辣烫（武生店）,536,2.0,12,麻辣烫,4.4,37,344,733,武汉市新洲区阳逻街特1号武生院商业街C160号
12,精粉牛肉面馆,1,1.5,15,米粉面馆,4.0,34,0,585,武汉市新洲区阳逻街武湖村1栋1-5层1层2号
13,麦佳小客(武生店),71,1.0,13,简餐,4.9,30,1,354,武汉市新洲区阳逻街武生院商业街
14,麦佳小客(武生店),71,1.0,13,简餐,4.9,30,1,354,武汉市新洲区阳逻街武生院商业街
15,饭前藕遇(武生店),483,0.0,0,川湘菜,3.9,37,7,845,武汉市新洲区阳逻街武生院东区商业街C165号
16,泰隐营养餐馆(武生店),168,2.0,15,简餐,4.8,37,0,1029,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场7栋20号
17,好甜回头客(武生店),106,0.0,10,简餐,4.4,34,0,422,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A212号
18,豪大大鸡排-鸡排饭(武生院店),1267,1.0,12,汉堡,4.7,37,169,876,武汉市新洲区阳逻武汉生物工程学院商业街西区7号
19,好麦乐炸鸡(武生店),663,0.0,13,汉堡,4.5,37,0,769,湖北省武汉市新洲区阳逻街汉施路特1号武生院商业街C164号
20,学府家园水果副食店(武生院),36,1.0,8,大型超市,5.0,33,0,382,武汉市新洲区阳逻街汉施路特1号武生院学府竹屋
21,欧巴炸鸡,262,2.0,10,炸鸡炸串,4.7,34,23,866,武汉市新洲区阳逻街汉施路特1号武生院商业街西区23号
22,转角(武生店),167,2.0,12,简餐,4.7,37,13,437,湖北省武汉市新洲区阳逻街汉施路特1号武生院商业街东区A208B
23,转角(武生店),167,2.0,12,简餐,4.7,37,13,437,湖北省武汉市新洲区阳逻街汉施路特1号武生院商业街东区A208B
24,刘易手牛杂萝卜汤(武生店),3,1.5,11,米粉面馆,0.0,34,0,970,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋11号
25,薄冰羊肉粉(贵州遵义武生店),513,1.0,10,米粉面馆,4.3,32,65,587,武汉市新洲区阳逻街武湖汉施公路1号东街美食城B栋1层19号
26,环宇水咖(武生店),47,1.0,7,奶茶果汁,4.2,37,0,885,武汉市新洲区阳逻街桥头村471号
27,茶果年华（武生店）,101,1.8,10,奶茶果汁,4.7,37,16,686,武汉市新洲区阳逻街汉施路特1号武生院西区商业街16-2号
28,炊烟农家（武生店）,83,1.0,10,简餐,4.9,34,0,612,武汉市新洲区阳逻武生院西区商业街30号
