名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
成都冒菜水煮鱼(武生店),660,2,12,麻辣烫,4.2,37,204,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街C152号
平凡便利店(武生店),264,2,20,便利店,4.6,37,73,965,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场6栋8号
馋猫铺子,35,15,1000,休闲零食,5,32,16,566,武汉市新洲区阳逻街汉施路1号武生院中区商业街2号
罗兰花店,48,0,0,鲜花,5,41,5,31862,湖北省武汉市洪山区卓刀泉教师小区25栋负101室
冬依花坊 ,147,30,0,鲜花,5,45,35,32853,武汉东湖新技术开发区流芳湖口村金谷明珠园15-1-603号
花花时间,9,0,0,鲜花,5,51,0,18664,武汉市青山去工业二路14号门面
爱上零食屋,84,10,198,休闲零食,4.7,41,115,32080,台北四村20号1、2室
花西拾鲜花(武汉心语轩婚庆店),12,0,20,鲜花,0,50,0,8516,武汉市新洲区阳逻街平江路23号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
天猫小店（海棠超市武生院店）,527,1,15,便利店,4.8,37,1474,1002,武汉市新洲区阳逻街汉施公路特1号
港饮之港(武生院东区店),256,2,10,奶茶果汁,4.7,37,23,931,武汉市新洲区阳逻街汉施路1号武生院商业街东区A108号
缤纷果栈(武生店),387,0,15,水果,4.7,35,82,861,武汉市新洲区阳逻街桥头村长河西路444号
海棠超市(武生店),130,1,18,休闲零食,4.9,36,93,399,武汉市新洲区阳逻街汉施路特1号
爱心优培(中央工厂阳逻店),40,10,0,蛋糕,4.8,41,4,8705,武汉市新洲区阳逻街中份村七组
御品旗宫廷糕点(阳逻一店),25,10,0,蛋糕,4.3,47,3,8013,武汉市新洲区阳逻街吴家田村279号
尚希鲜花蛋糕(汉阳店),26,0,0,蛋糕,4.3,45,1,35256,武汉市武昌区南湖花园机场三路水域天际一期4栋2单元1层2室
尚希蛋糕鲜花(武汉店),1,0,0,鲜花,0,57,0,32252,武昌区武珞路628号亚贸广场B座15层7号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
野兽派鲜花蛋糕(武昌店),1,0,20,蛋糕,0,53,0,36510,武昌区南湖都市桃源一期4单元1-2层1室
手撕面包(武生店),171,1,10,面包,4.9,32,12,580,武汉市新洲区阳逻街武湖村1栋1楼
好甜御膳房(武生店),435,1,9,简餐,4.2,32,59,527,武汉市新洲区阳逻街汉施路特1号武生院东区商业街A221号
小伍卤肉卷意大利面鸡柳薯条(后街店),813,1,10,简餐,4.5,35,81,994,武汉市新洲区阳逻街桥头村六组42号
